F1,Precision,Recall,Dataset
0.999,0.999,0.999,../datasets/multi_class/drybean.csv
0.887,0.889,0.887,../datasets/multi_class/obesity.csv
0.521,0.45,0.622,../datasets/multi_class/balita.csv
0.741,0.746,0.742,../datasets/multi_class/apple.csv
0.662,0.584,0.764,../datasets/multi_class/adult.csv
0.569,0.57,0.577,../datasets/multi_class/body.csv
0.767,0.771,0.769,../datasets/multi_class/online.csv
0.81,0.811,0.813,../datasets/multi_class/star.csv
0.741,0.726,0.762,../datasets/multi_class/Student.csv
0.874,0.876,0.88,../datasets/real_outlier/Cardiotocography.csv
0.913,0.932,0.934,../datasets/real_outlier/annthyroid.csv
0.996,0.996,0.996,../datasets/real_outlier/optdigits.csv
0.9,0.916,0.918,../datasets/real_outlier//PageBlocks.csv
0.991,0.991,0.991,../datasets/real_outlier/pendigits.csv
0.841,0.854,0.85,../datasets/real_outlier/satellite.csv
0.997,0.997,0.997,../datasets/real_outlier/shuttle.csv
0.527,0.437,0.661,../datasets/real_outlier/yeast.csv
