F1,Precision,Recall,Dataset
1,1,1,../datasets/multi_class/drybean.csv
0.887,0.889,0.887,../datasets/multi_class/obesity.csv
0.52,0.449,0.621,../datasets/multi_class/balita.csv
0.741,0.747,0.742,../datasets/multi_class/apple.csv
0.662,0.584,0.764,../datasets/multi_class/adult.csv
0.566,0.566,0.572,../datasets/multi_class/body.csv
0.768,0.771,0.77,../datasets/multi_class/online.csv
0.809,0.811,0.813,../datasets/multi_class/star.csv
0.741,0.726,0.762,../datasets/multi_class/Student.csv
0.873,0.877,0.88,../datasets/real_outlier/Cardiotocography.csv
0.913,0.932,0.934,../datasets/real_outlier/annthyroid.csv
0.996,0.996,0.996,../datasets/real_outlier/optdigits.csv
0.9,0.917,0.918,../datasets/real_outlier//PageBlocks.csv
0.991,0.991,0.991,../datasets/real_outlier/pendigits.csv
0.841,0.854,0.85,../datasets/real_outlier/satellite.csv
0.997,0.997,0.997,../datasets/real_outlier/shuttle.csv
0.53,0.44,0.664,../datasets/real_outlier/yeast.csv
