F1,Precision,Recall,Dataset
0.999,0.999,0.999,../datasets/multi_class/drybean.csv
0.894,0.896,0.893,../datasets/multi_class/obesity.csv
0.517,0.447,0.617,../datasets/multi_class/balita.csv
0.721,0.724,0.722,../datasets/multi_class/apple.csv
0.662,0.584,0.764,../datasets/multi_class/adult.csv
0.571,0.571,0.576,../datasets/multi_class/body.csv
0.766,0.769,0.768,../datasets/multi_class/online.csv
0.809,0.809,0.812,../datasets/multi_class/star.csv
0.735,0.765,0.753,../datasets/multi_class/Student.csv
0.885,0.886,0.89,../datasets/real_outlier/Cardiotocography.csv
0.905,0.932,0.931,../datasets/real_outlier/annthyroid.csv
0.997,0.997,0.997,../datasets/real_outlier/optdigits.csv
0.889,0.915,0.913,../datasets/real_outlier//PageBlocks.csv
0.99,0.99,0.99,../datasets/real_outlier/pendigits.csv
0.846,0.856,0.853,../datasets/real_outlier/satellite.csv
0.996,0.996,0.996,../datasets/real_outlier/shuttle.csv
0.524,0.435,0.659,../datasets/real_outlier/yeast.csv
