F1,Precision,Recall,Dataset
1,1,1,../datasets/multi_class/drybean.csv
0.887,0.889,0.887,../datasets/multi_class/obesity.csv
0.522,0.451,0.623,../datasets/multi_class/balita.csv
0.736,0.739,0.736,../datasets/multi_class/apple.csv
0.662,0.584,0.764,../datasets/multi_class/adult.csv
0.572,0.571,0.574,../datasets/multi_class/body.csv
0.768,0.77,0.769,../datasets/multi_class/online.csv
0.811,0.812,0.814,../datasets/multi_class/star.csv
0.741,0.726,0.762,../datasets/multi_class/Student.csv
0.876,0.878,0.882,../datasets/real_outlier/Cardiotocography.csv
0.912,0.934,0.934,../datasets/real_outlier/annthyroid.csv
0.996,0.996,0.996,../datasets/real_outlier/optdigits.csv
0.9,0.917,0.918,../datasets/real_outlier//PageBlocks.csv
0.991,0.991,0.991,../datasets/real_outlier/pendigits.csv
0.842,0.854,0.851,../datasets/real_outlier/satellite.csv
0.997,0.997,0.997,../datasets/real_outlier/shuttle.csv
0.524,0.435,0.659,../datasets/real_outlier/yeast.csv
