iter	Logloss
0	0.6520860371
1	0.6099432397
2	0.5721661845
3	0.5358173442
4	0.5016693842
5	0.4702603147
6	0.4398677586
7	0.4114399338
8	0.3854533678
9	0.3618446263
10	0.34094603
11	0.3202091128
12	0.3007002451
13	0.2828225984
14	0.2643111927
15	0.2488865907
16	0.2344094579
17	0.2208774796
18	0.2089052934
19	0.1979817709
20	0.1865199373
21	0.1755368032
22	0.1662693955
23	0.1572400762
24	0.1496580986
25	0.14137004
26	0.1348464171
27	0.1288868015
28	0.1232283425
29	0.1172337016
30	0.1114293299
31	0.1067369121
32	0.1017773087
33	0.09783371538
34	0.09404347138
35	0.09034213269
36	0.08693814789
37	0.08357908357
38	0.07958341017
39	0.07604626664
40	0.07339401308
41	0.07052920508
42	0.06784902464
43	0.06482589645
44	0.06259776928
45	0.06059225099
46	0.05874532596
47	0.05723791063
48	0.05581286786
49	0.05425860907
50	0.0529042902
51	0.05158315198
52	0.0503277623
53	0.04876640986
54	0.04727170467
55	0.0459357668
56	0.04487708897
57	0.04400644552
58	0.04262155427
59	0.04169653049
60	0.04090023041
61	0.04021417252
62	0.0392974552
63	0.03864993596
64	0.03801920546
65	0.03745505302
66	0.03680731353
67	0.03608147033
68	0.03560266037
69	0.03489367003
70	0.03390173129
71	0.03326787744
72	0.03270182369
73	0.03216736117
74	0.03160424262
75	0.03114875018
76	0.03065373361
77	0.03020196019
78	0.029670903
79	0.02921765255
80	0.02898496468
81	0.02845330772
82	0.02804472834
83	0.02775743427
84	0.0274667838
85	0.0271180774
86	0.02681740107
87	0.02646125487
88	0.02607435652
89	0.02577121176
90	0.0254525591
91	0.02502984376
92	0.02477748098
93	0.02446153577
94	0.02427444432
95	0.02387432446
96	0.02366221773
97	0.02337383614
98	0.02317860662
99	0.02282234659
100	0.02258382225
101	0.02236027986
102	0.02218399188
103	0.02181353344
104	0.02162113922
105	0.02142800098
106	0.02124475294
107	0.02096628329
108	0.02077664253
109	0.02059597297
110	0.02046988485
111	0.02022739396
112	0.02000497609
113	0.01980600953
114	0.01963140766
115	0.0194390843
116	0.01929189276
117	0.01918556328
118	0.01893167567
119	0.01880669382
120	0.01866222664
121	0.01852190642
122	0.01841694933
123	0.01829001813
124	0.01818344015
125	0.01806602404
126	0.01781669491
127	0.01766062416
128	0.0174594167
129	0.01730982475
130	0.01716543641
131	0.01702826995
132	0.01691298818
133	0.01680043658
134	0.01673264602
135	0.01660580652
